nome;cultura;saco;preco
MIX COBERTURA SB MIX 70/30 RUZIZIENSIS / CROTALARIA SPECTABILIS TRATADA SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX MARANDU/DECUMBENS SBMIX 60/40 PROMAX SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA MILHETO 30% / NABO FORRAGEIRO 30% / RUZIZIENSIS 40% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA CORACANA 77% / NABO FORRAGEIRO 23% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX PASTEJO SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA SBMIX PASTEJO SBS PURA VC80 500KG;Pecuária;500 kg;0
MIX COBERTURA SBMIX PRECOCE SBS PURA VC80 1000KG;Pecuária;1000 kg;0
MIX COBERTURA SBMIX PRECOCE SBS PURA VC80 500KG;Pecuária;500 kg;0
MIX COBERTURA SB MIX 50/50 RUZIZIENSIS/PIATA SBS PURA VC80 30KG;Pecuária;30 kg;0
MIX COBERTURA SB MIX 50/50 RUZIZIENSIS / CROTALARIA SPECTABILIS TRATADA SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA SBMIX 70/30 SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA MASSAI NUTRE 60% / LLANERO NUTRE 40% SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA MARANDU NUTRE 70% / LLANERO NUTRE 30% SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA RUZIZIENSIS 50% / CROTALARIA JUNCEA 25% / MILHETO 25% SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA MILHETO 30% / NABO 10% / CRAMBE 10% / TRIGO 40% / RUZIZIENSIS 10% SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA MARANDU NUTRE 60% / LLANERO NUTRE 40% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA RUZIZIENSIS/PIATA SBMIX 60/40  SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA OCHROLEUCA 24% / SPECTABILIS 12% / MILHETO 12% / CORACANA 8% / RUZIZ 8% / CRAMBE 12% /;Agricultura;—;0
MIX COBERTURA XARAÉS 40% / NABO FORRAGEIRO 60% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA DECUMBENS 80% / MARANDU 20% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SPECTABILIS 50% / OCHROLEUCA 50% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SB MIX CUSTOMIZADO 50/50 LLANERO / MG-5 PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA MARANDU 65% / RUZIZIENSIS 35% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX OCHROLEUCA 24% / SPECTABILIS 12% / MILHETO 12% / CORACANA 8% / RUZIZ 8% / CRAMBE 12% / TRIGO 24%;Agricultura;—;0
MIX COBERTURA MILHETO ADR300 24% / OCHROLEUCA 24% / SPECTABILIS 32% / JUNCEA 20%  SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX 150 RUZIZIENSIS 12% / MILHETO 18% / OCHROLEUCA 24% / TRIGO 30% / NABO 16% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX 375 RUZIZIENSIS 12% / SORGO 22% / OCHROLEURA 22% / SPECTABILIS 18% / GUANDU 26% SBS PURA VC80 25;Agricultura;—;0
MIX 420 AVEIA BRANCA 26% / AVEIA PRETA 24% / NABO JAPONÊS 18% / CENTEIO 32% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX 150 RUZIZIENSIS 12% / MILHETO 18% / OCHROLEUCA 24% / TRIGO 30% / NABO 16% SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX 375 RUZIZIENSIS 12% / SORGO 22% / OCHROLEURA 22% / SPECTABILIS 18% / GUANDU 26% SBS VC80 500 KG;Agricultura;500 kg;0
MIX 420 AVEIA BRANCA 26% / AVEIA PRETA 24% / NABO JAPONÊS 18% / CENTEIO 32% SBS PURA VC80 500 KG;Agricultura;500 kg;0
MIX 420 AVEIA BRANCA 26% / AVEIA PRETA 24% / NABO FORRAGEIRO IPR116 18% / CENTEIO 32% SBS PURA VC80;Agricultura;—;0
MIX 150 RUZIZIENSIS 12% / MILHETO 18% / OCHROLEUCA 24% / TRIGO 30% / NABO FORRAGEIRO IPR116 16%;Agricultura;—;0
MIX 420 T. MOURISCO 28%/ OCHROLEUCA 12%/ NABO 24%/GUANDU 16%/SPECTABILIS 12%/CRAMBE 8% SBS PURA VC80;Agricultura;—;0
MIX COBERTURA NABO FORRAGEIRO 60% / RUZIZIENSIS 40% SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA MG-4 90% / MOMBAÇA 10%  SBS PURA VC50 25KG;Agricultura;25 kg;0
MIX COBERTURA PIATÃ 50% / OCHORLEUCA 50% SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SPECTABILIS 50% / RUZIZIENSIS 30% / MILHETO 20% SBS PURA VC80 500KG;Agricultura;500 kg;0
MIX COBERTURA SPECTABILIS 70% / PIATÃ 30% SBS PURA VC80 500KG;Agricultura;500 kg;0
"MIX COBERTURA SPECTABILIS 72,7% / RUZIZIENSIS 27,3% SBS PURA VC80 25KG";Agricultura;25 kg;0
"MIX COBERTURA SPECTABILIS 72,7% / RUZIZIENSIS 27,3% SBS PURA VC80 500KG";Agricultura;500 kg;0
MIX GUANDU 14% / RUZIZIENSIS 16% / MILHETO 14% / CORACANA 9% / NABO 7% / TRIGO 20% / SORGO 20%;Agricultura;—;0
MIX COBERTURA MILHETO ADR300 50% / CROTALÁRIA SPECTABILIS 50% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SB MIX 50/50 RUZIZIENSIS / CROTALARIA SPECTABILIS TRATADA SBS PURA VC80 500KG;Agricultura;500 kg;0
"MIX COBERTURA RUZIZIENSIS 33,33% / MILHETO 33,33% / SORGO FORRAGEIRO 33,34% SBS PURA VC80 500KG";Agricultura;500 kg;0
MIX COBERTURA SBMIX INVERNO SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA SBMIX N SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA SBMIX PALHADA SBS PURA VC80 25KG;Pecuária;25 kg;0
MIX COBERTURA SBMIX PRECOCE SBS PURA VC80 25KG;Pecuária;25 kg;0
"MIX JUNCEA 23,50% / SPECTABILIS 17,60% / RUZIZIENSIS 35,40% / PIATA 23,50% SBS PURA VC80 25KG";Agricultura;25 kg;0
"MIX COBERTURA JUNCEA 23,50% / SPECTABILIS 17,60% / RUZIZIENSIS 35,40% / PIATA 23,50% SBS PURA VC80 2";Agricultura;—;0
MIX COBERTURA RUZIZIENSIS 50% /PIATA 50% SBS PRO GRAFITADA VC80 500KG;Agricultura;500 kg;0
"MIX COBERTURA RUZIZIENSIS 33,33% / MILHETO 33,33% / SORGO FORRAGEIRO 33,34% SBS PURA VC80 25KG";Agricultura;25 kg;0
MIX COBERTURA RUZIZIENSIS 40% / PIATA 60% SBS PRO GRAFITADA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA MIX CUSTOMIZADO SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA RUZIZIENSIS 32% / TRIGO MOURISCO 32% / MILHETO 24% / OCHROLEUCA 12% SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA MILHETO 70% / RUZIZIENSIS 30% SBS PURA VC80 25KG;Agricultura;25 kg;0
"MUCUNA CINZA, CV MUNCUNA CINZA";Agricultura;—;0
PASPALUM NOTATUM CV GRAMA BATATAIS NOBRE INCRUSTADA 10KG;Agricultura;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA DECUMBENS BASILISK SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA DECUMBENS BASILISK SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA DECUMBENS BASILISK SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA DECUMBENS BASILISK SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS NUTRE VC80 500KG;Pecuária;500 kg;0
HIBRIDA CAYANA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
HIBRIDA CAYANA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
HIBRIDA CAYANA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
HIBRIDA DUNAMIS  MIXE LNN56 SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
HIBRIDA DUNAMIS  MIXE LNN56 SBS NUTRE VC80 10KG;Pecuária;10 kg;0
HIBRIDA DUNAMIS  MIXE LNN56 SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA MARANDU SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MARANDU SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MARANDU SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA MARANDU SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA MG-4 SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MG-4 SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-4 SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA MG-4 SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA MG-5 SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MG-5 SBS NUTRE VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-5 SBS NUTRE VC80 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA MG-5 SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS NUTRE VC80 500KG;Pecuária;500 kg;0
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS NUTRE VC80 1000KG;Agricultura;1000 kg;0
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS NUTRE VC80 10KG;Agricultura;10 kg;0
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS NUTRE VC80 12KG;Agricultura;12 kg;0
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS NUTRE VC80 500KG;Agricultura;500 kg;0
HIBRIDA SABIA CONVERT 330 SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
HIBRIDA SABIA CONVERT 330 SBS NUTRE VC80 10KG;Pecuária;10 kg;0
HIBRIDA SABIA CONVERT 330 SBS NUTRE VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS NUTRE VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS NUTRE VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS NUTRE VC80 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS NUTRE VC80 500KG;Pecuária;500 kg;0
"89 BOBINA UNIP OURO,SEG,S LEGAL,GRA,1000_UN";Pecuária;—;0
ACIDO SULFURICO ONU 1830 II CLASSE 8 CON CONCENTRACAO 98% N DE RISCO 80;Pecuária;—;0
ADUBADEIRA SEMEADEIRA PENDULAR VICON PSSPP 603;Pecuária;—;0
AMOSTRA DE UROCHLOA BRIZANTHA CV BRS PIATA VC 80 01KG;Pecuária;01 kg;0
AMOSTRA DE UROCHLOA RUZIZIENSIS CV RUZIZIENSIS VC 80 01KG;Pecuária;01 kg;0
BALANCA;Pecuária;—;0
BALANCA (B 53 150 KG N/S 9263);Pecuária;150 kg;0
BALANCA (B530 150 KG N/S 9262);Pecuária;150 kg;0
BALANCA (B530 200 KG N/S 7163);Pecuária;200 kg;0
BALANCA (CAP 1000);Pecuária;—;0
BALANCA (CAP 60);Pecuária;—;0
BALANCA (LD 1001S 150 KG N/S 3374);Pecuária;150 kg;0
BALANCA (LD 1001S 200 KG N/S 727);Pecuária;200 kg;0
BATEDOR DE SEMENTES;Pecuária;—;0
BICA DE SAIDA DA MESA DENSIMETRICA;Pecuária;—;0
BLOCO DE NOTAS;Pecuária;—;0
"BOBINA UNIP OURO,SEG,S LEGAL,GRA,2500_UN";Pecuária;—;0
"BOBINA UNIP PRATA,SEG,S LEGAL,GRA,1000UN";Pecuária;—;0
BOMBA SUBMERSA;Pecuária;—;0
BONE MARROM;Pecuária;—;0
BONE ROSA;Pecuária;—;0
CANETAS;Pecuária;—;0
COLA FORRAGEIRA PO;Pecuária;—;0
COMPRESSOR HERMETICO 24 KBTU ATN 50D42UFZ - TCL - 828669;Pecuária;—;0
COSTURADEIRA FE 200 MATISA (COM CABEÇOTE);Pecuária;—;0
ELEUSINE CORACANA CV CORACANA 25KG;Pecuária;25 kg;0
ESS DMR 631. CR C/ SENSOR CH VERDE / CX CINZA CEST - 28 061 00;Pecuária;—;0
ETIQUETA IMPRESSORA A4 210 X 297 MM 100 FLS CA 4367 COLACRIL;Pecuária;—;0
FERRO VELHO;Pecuária;—;0
GRAFITE GRAFSOLO;Pecuária;—;0
GRANULADO FINO;Pecuária;—;0
GRANULADO GROSSO;Pecuária;—;0
I/VOLVO XC90 T6 MOMENTUM;Pecuária;—;0
IMPRESSORA TERMO TRANSFERENCIA NORWOOD MODELO 53XL80;Pecuária;—;0
IMPRESSORA TERMO-TRANSFERENCIA 53XL80 NS 120233;Pecuária;—;0
KIT MATERIAL DE DIVULGACAO (DIVERSOS);Pecuária;—;0
KIT MATERIAL DE DIVULGAÇÃO (DIVERSOS);Pecuária;—;0
MAQUINA AGRICOLA PARA PRE LIMPEZA;Pecuária;—;0
MAQUINA AGRICOLA PARA PRE LIMPEZA - MOD 03M GELIO;Pecuária;—;0
MAQUINA SEMEADORA  ESS DMR 63L CR C/SENSOR + 3O PONTO CH VERDE/CX CINZA;Pecuária;—;0
MESA DE GRAVIDADE CAPACIDADE 120 SC/HR;Pecuária;—;0
MESA DE GRAVIDADE CAPACIDADE 200 SC/HR;Pecuária;—;0
MPC 325 SELICATO;Pecuária;—;0
PALHA BRIZANTHA;Pecuária;—;0
PALHA DECUMBENS;Pecuária;—;0
PALHA PANICUM;Pecuária;—;0
PARTE DE UM CONJUNTO INDUSTRIAL FRIGORIFICO;Pecuária;—;0
PNEU 750 X 16;Pecuária;—;0
RECIPIENTE ESTACION P2000-H;Pecuária;—;0
RELE PROT / MEDICAO URP 6000 / 5 5 A 72-250V;Pecuária;—;0
RELE PROT / MEDICAO URP 6000/5 5 A 72-250W;Pecuária;—;0
RENAULT/OROCH 16 4X2;Pecuária;—;0
RESIDUO DE BENEFICIO SEMENTES;Pecuária;—;0
RESIDUO DE SEMENTES BRACHIARIA RUZIZIENSIS;Pecuária;—;0
RESIDUO DE UROCHLOA BRIZANTHA;Pecuária;—;0
SACARIA PAPEL AAX SEMEMBRAS 105X80;Pecuária;—;0
SACARIA PAPEL AAX SEMEMBRAS 120X86;Pecuária;—;0
SACARIA PAPEL AAX SEMEMBRAS 70X55 NOBRE;Pecuária;—;0
SACARIA PAPEL AAX SEMEMBRAS 70X55 PURA;Pecuária;—;0
SACARIA PAPEL AAX SEMEMBRAS 90X65;Pecuária;—;0
SACARIA PAPEL NOBRE BRASIL 70X55 PURA;Pecuária;—;0
SACARIA PAPEL NOBRE BRASIL 90X65;Pecuária;—;0
SANSAO DO CAMPO - MIMOSA CAESALPINIAEFOLIA;Pecuária;—;0
SEMENTE DE CAPIM PE DE GALINHA;Pecuária;—;0
SEMENTES BRUTAS UROCHLOA RUZIZIENSIS CULTIVAR RUZIZIENSIS PARA BENEFICIAMENTO;Pecuária;—;0
SERVIÇOS PRESTADOS;Pecuária;—;0
"SOFT-STARTER, CORRENTE NOMINAL 130A";Pecuária;—;0
TENDA SANFONADA 3X3 PVC SILKADA;Pecuária;—;0
TRAFO POTENCIAL A SECO EPOXI 11.900 V/R3/G2 500 VA 220 V;Pecuária;—;0
"TRANSF POTENCIAL USO INT TENSAO PRIM: 11.900/R3V TENSAO SEC: 220/R3V POT: 500VA EXAT: 0,3P75 GP L: 2";Pecuária;—;0
WPC 220 V - WAIG;Pecuária;—;0
SACARIA PAPEL NOBRE BRASIL 90X65 NOBRE;Pecuária;—;0
SACARIA PAPEL SBS 120X86 TRADICIONAL;Pecuária;—;0
SACARIA PAPEL SBS 70X55 NUTRE;Pecuária;—;0
MEDICAGO SATIVA ALFAFA CRIOULA SBS PURA VC75 25KG;Pecuária;25 kg;0
MEDICAGO SATIVA ALFAFA TRIFECTA SBS PURA VC90 25KG;Pecuária;25 kg;0
ARACHIS PINTOI KRAPOV & W C GREG AMENDOIM FORRAGEIRO SBS 1000KG;Pecuária;1000 kg;0
ARACHIS PINTOI KRAPOV & W C GREG AMENDOIM FORRAGEIRO SBS 25KG;Pecuária;25 kg;0
ARACHIS PINTOI KRAPOV & W C GREG AMENDOIM FORRAGEIRO SBS 500KG;Pecuária;500 kg;0
ARACHIS PINTOL KRAPOV & W. C. GREG AMENDOIM FORRAGEIRO 10KG;Pecuária;10 kg;0
ARACHIS PINTOL KRAPOV & W. C. GREG AMENDOIM FORRAGEIRO 1KG;Pecuária;1 kg;0
ARACHIS PINTOI KRAPOV. & W. C. GREG. AMENDOIM FORRAGEIRO SBS PURA VC80 01KG;Agricultura;01 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC72 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC72 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC72 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC75 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC75 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC75 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC80 30KG;Pecuária;30 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PURA VC72 30KG;Pecuária;30 kg;0
AVEIA BRANCA (AVENA SATIVA L) - CV. URS TAURA 25KG;Pecuária;25 kg;0
AVENA SATIVA L AVEIA BRANCA URS TAURA SBS 1000KG;Pecuária;1000 kg;0
AVENA SATIVA L AVEIA BRANCA URS TAURA SBS 25KG;Pecuária;25 kg;0
AVENA SATIVA L AVEIA BRANCA URS TAURA SBS 500KG;Pecuária;500 kg;0
AVENA STRIGOSA SCHREB AVEIA PRETA EMBRAPA 140 SBS 500KG;Pecuária;500 kg;0
AVENA STRIGOSA SCHREB AVEIA PRETA EMBRAPA 141 SBS 1000KG;Pecuária;1000 kg;0
AVENA STRIGOSA SCHREB AVEIA PRETA EMBRAPA 139 SBS 1000KG;Pecuária;1000 kg;0
AVEIA PRETA (AVENA STRIGOSA) - CV. EMBRAPA 139;Pecuária;—;0
AVEIA PRETA (AVENA STRIGOSA) - CV. EMBRAPA 139 - 25KG;Pecuária;25 kg;0
AVEIA PRETA (AVENA STRIGOSA) - CV. EMBRAPA 139 500KG;Pecuária;500 kg;0
AVENA STRIGOSA SCHREB AVEIA PRETA EMBRAPA 139 SBS 25KG;Pecuária;25 kg;0
AVENA STRIGOSA SCHREB AVEIA PRETA EMBRAPA 139 SBS 500KG;Pecuária;500 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 01KG;Pecuária;01 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 02KG;Pecuária;02 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 10KG;Pecuária;10 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 30KG;Pecuária;30 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 500KG;Pecuária;500 kg;0
UROCHLOA DECUMBENS BASILISK SBS PURA VC80 05KG;Pecuária;05 kg;0
CROTALARIA BREVIFLORA SBS PURA VC80 25KG;Agricultura;25 kg;0
CROTALARIA BREVIFLORA SBS PURA VC80 500KG;Agricultura;500 kg;0
STYLOSANTHES (S CAPITATA 80 S MACROCEPHALA 20) 20KG;Agricultura;20 kg;0
STYLOSANTHES BRS CAMPO GRANDE SBS PURA VC80 1000KG;Agricultura;1000 kg;0
STYLOSANTHES BRS CAMPO GRANDE SBS PURA VC80 25KG;Agricultura;25 kg;0
STYLOSANTHES BRS CAMPO GRANDE SBS PURA VC80 500KG;Agricultura;500 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PURA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PURA VC80 10KG;Pecuária;10 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PURA VC80 30KG;Pecuária;30 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PURA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PURA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PURA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PURA VC80 30KG;Pecuária;30 kg;0
